18489.774	0.7033	0.7348	0.6788	0.6394	0.7676	0.7022	0.7033	0.7783
18627.9639	0.7006	0.7655	0.6607	0.5816	0.8206	0.6965	0.7006	0.7801
17802.8266	0.7221	0.7714	0.6875	0.6341	0.8107	0.72	0.7221	0.8002
17637.8412	0.7281	0.788	0.6883	0.6268	0.8302	0.7254	0.7281	0.8067
17456.51	0.7246	0.7213	0.7281	0.7353	0.7138	0.7245	0.7246	0.8108
17376.8233	0.7363	0.7784	0.7048	0.6633	0.8098	0.735	0.7363	0.8154
17098.1999	0.737	0.7513	0.7241	0.7115	0.7628	0.7369	0.737	0.8209
17409.1786	0.7318	0.7265	0.7375	0.7467	0.7168	0.7317	0.7318	0.8199
17563.5172	0.7356	0.7414	0.7299	0.7264	0.7448	0.7356	0.7356	0.8214
17739.9133	0.7401	0.7467	0.7338	0.7296	0.7507	0.7401	0.7401	0.8246
17554.8947	0.7443	0.7512	0.7376	0.7332	0.7554	0.7442	0.7443	0.8287
18199.0634	0.7309	0.7189	0.7444	0.7613	0.7003	0.7306	0.7309	0.8232
18504.1532	0.7388	0.7282	0.7507	0.7651	0.7124	0.7386	0.7388	0.8297
20572.2887	0.722	0.6879	0.7723	0.8165	0.6269	0.7194	0.722	0.8272
19741.5509	0.7386	0.7266	0.7522	0.7682	0.7088	0.7383	0.7386	0.8306
23000.9683	0.723	0.6881	0.775	0.8196	0.6257	0.7203	0.723	0.8294
23773.4718	0.7207	0.6821	0.7813	0.8304	0.6101	0.7171	0.7207	0.8275
26055.5487	0.7167	0.677	0.7807	0.8327	0.5998	0.7126	0.7167	0.8278
25919.2898	0.721	0.6811	0.7849	0.835	0.6062	0.7171	0.721	0.8288
27545.2485	0.7266	0.692	0.7775	0.8203	0.6322	0.724	0.7266	0.8295
30239.0689	0.7188	0.6769	0.7882	0.841	0.5958	0.7143	0.7188	0.8309
34930.1394	0.7045	0.6558	0.7999	0.8653	0.5425	0.6963	0.7045	0.8296
35944.7393	0.7061	0.6575	0.8005	0.8648	0.5463	0.6982	0.7061	0.8308
37762.4389	0.6966	0.6455	0.8058	0.8767	0.5151	0.686	0.6966	0.8288
41659.0587	0.6968	0.6454	0.8075	0.8783	0.5141	0.6861	0.6968	0.8287
43414.3872	0.6954	0.6433	0.8105	0.8822	0.5072	0.684	0.6954	0.8292
52194.1937	0.6826	0.6292	0.8156	0.8947	0.469	0.6672	0.6826	0.8298
50832.2716	0.6929	0.6402	0.8128	0.886	0.4984	0.6806	0.6929	0.8285
58983.1931	0.694	0.6416	0.8114	0.884	0.5027	0.6822	0.694	0.8277
50596.0072	0.7069	0.6591	0.7982	0.8617	0.551	0.6994	0.7069	0.8299
58335.9598	0.6957	0.6446	0.8055	0.877	0.513	0.685	0.6957	0.8276
65051.5643	0.6869	0.6332	0.8176	0.894	0.4783	0.6724	0.6869	0.8284
54005.3912	0.7148	0.6699	0.7939	0.8511	0.5775	0.7092	0.7148	0.8284
61526.1785	0.7075	0.6588	0.8017	0.8652	0.5488	0.6998	0.7075	0.8285
67989.0781	0.6977	0.6476	0.8023	0.8723	0.522	0.6879	0.6977	0.8257
88077.053	0.6887	0.6342	0.8223	0.8973	0.4787	0.6741	0.6887	0.8264
76922.925	0.7008	0.6491	0.8102	0.8786	0.5217	0.6907	0.7008	0.8286
91669.8003	0.6849	0.6305	0.8211	0.8984	0.4698	0.6693	0.6849	0.8287
89592.6549	0.6936	0.6405	0.8149	0.8876	0.4983	0.6812	0.6936	0.827
88631.8574	0.684	0.6298	0.8205	0.8983	0.4681	0.6683	0.684	0.8289
87761.1226	0.6945	0.6417	0.8132	0.8855	0.5021	0.6825	0.6945	0.8275
75732.0931	0.7089	0.6597	0.8044	0.8674	0.5494	0.7011	0.7089	0.8289
90846.8201	0.6935	0.6407	0.8132	0.8861	0.4995	0.6813	0.6935	0.8265
104597.0351	0.6908	0.6379	0.8134	0.8879	0.4924	0.6779	0.6908	0.8249
109106.7781	0.6844	0.6297	0.8233	0.9006	0.4666	0.6684	0.6844	0.8249
120116.2876	0.6713	0.6169	0.8269	0.9106	0.4304	0.6508	0.6713	0.8226
142853.4852	0.6567	0.6031	0.8348	0.9239	0.3875	0.6295	0.6567	0.824
109564.4528	0.6757	0.6212	0.825	0.9067	0.4431	0.6569	0.6757	0.8263
123872.2922	0.6763	0.6215	0.8265	0.9076	0.4433	0.6574	0.6763	0.8256
117661.9687	0.6802	0.6246	0.8305	0.9089	0.4498	0.662	0.6802	0.8262
